Altium Designer Pick and Place Locations
E:\Altium\AD24\Projects\Digital-Logic-Boards\Basic-Logic-Gates\Project Outputs for Basic-Logic-Gates\Pick Place\Pick Place for Basic-Logic-Gates-PCB.txt

========================================================================================================================
File Design Information:

Date:       22/09/24
Time:       14:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                 Layer    Footprint        Center-X(mil) Center-Y(mil) Rotation Description                                   
J62        Jack                    TopLayer CONNECTOR        3530.512      816.929       0        "Jack Connector (Jumper)"                     
J61        Jack                    TopLayer CONNECTOR        6266.732      344.488       0        "Jack Connector (Jumper)"                     
J80        Jack                    TopLayer CONNECTOR        7659.449      1544.291      0        "Jack Connector (Jumper)"                     
J78        Jack                    TopLayer CONNECTOR        6950.787      1345.473      0        "Jack Connector (Jumper)"                     
J77        Jack                    TopLayer CONNECTOR        6348.425      1582.677      0        "Jack Connector (Jumper)"                     
J76        Jack                    TopLayer CONNECTOR        5632.874      1412.402      0        "Jack Connector (Jumper)"                     
J75        Jack                    TopLayer CONNECTOR        5632.874      1804.134      0        "Jack Connector (Jumper)"                     
J41        Jack                    TopLayer CONNECTOR        2162.402      344.488       0        "Jack Connector (Jumper)"                     
J60        Jack                    TopLayer CONNECTOR        7659.449      2850.394      0        "Jack Connector (Jumper)"                     
J40        Jack                    TopLayer CONNECTOR        7114.173      4011.811      0        "Jack Connector (Jumper)"                     
J39        Jack                    TopLayer CONNECTOR        6478.346      3996.063      0        "Jack Connector (Jumper)"                     
J37        Jack                    TopLayer CONNECTOR        5921.260      4626.969      0        "Jack Connector (Jumper)"                     
J34        Jack                    TopLayer CONNECTOR        4675.197      3739.173      0        "Jack Connector (Jumper)"                     
J33        Jack                    TopLayer CONNECTOR        4147.638      3984.252      0        "Jack Connector (Jumper)"                     
J32        Jack                    TopLayer CONNECTOR        3410.433      3781.496      0        "Jack Connector (Jumper)"                     
J16        Jack                    TopLayer CONNECTOR        5391.732      4944.882      0        "Jack Connector (Jumper)"                     
J9         Jack                    TopLayer CONNECTOR        2008.858      4748.032      0        "Jack Connector (Jumper)"                     
R7         "Through Hole Resistor" TopLayer TH-RESISTOR      2607.284      344.488       0        "Through Hole Resistor"                       
R1         "Through Hole Resistor" TopLayer TH-RESISTOR      2607.283      816.929       0        "Through Hole Resistor"                       
J42        Jack                    TopLayer CONNECTOR        6266.732      816.929       0        "Jack Connector (Jumper)"                     
J74        Jack                    TopLayer CONNECTOR        5082.677      1516.732      0        "Jack Connector (Jumper)"                     
J24        Jack                    TopLayer CONNECTOR        794.291       816.929       0        "Jack Connector (Jumper)"                     
J23        Jack                    TopLayer CONNECTOR        794.291       344.488       0        "Jack Connector (Jumper)"                     
J4         Jack                    TopLayer CONNECTOR        4898.622      344.488       0        "Jack Connector (Jumper)"                     
J3         Jack                    TopLayer CONNECTOR        4898.622      816.929       0        "Jack Connector (Jumper)"                     
J2         Jack                    TopLayer CONNECTOR        3530.512      344.488       0        "Jack Connector (Jumper)"                     
J1         Jack                    TopLayer CONNECTOR        2162.401      816.929       0        "Jack Connector (Jumper)"                     
D10        "5mm LED"               TopLayer LED              2970.669      344.488       180      "5mm LED"                                     
